timestamp,value
2023-01-01 00:00:00,100
2023-01-01 01:00:00,102
2023-01-01 02:00:00,101
2023-01-01 03:00:00,105
2023-01-01 04:00:00,107
2023-01-01 05:00:00,110
2023-01-01 06:00:00,108
2023-01-01 07:00:00,111
2023-01-01 08:00:00,115
2023-01-01 09:00:00,120
2023-01-01 10:00:00,118
2023-01-01 11:00:00,122
2023-01-01 12:00:00,125
2023-01-01 13:00:00,130
2023-01-01 14:00:00,128
2023-01-01 15:00:00,133
2023-01-01 16:00:00,135
2023-01-01 17:00:00,138
2023-01-01 18:00:00,140
2023-01-01 19:00:00,142
2023-01-01 20:00:00,145
2023-01-01 21:00:00,148
2023-01-01 22:00:00,150
2023-01-01 23:00:00,155
2023-01-02 00:00:00,158

